date,tag,asset_name,asset_size,download_count,downloads_delta
2026-01-29,v0.1.10,microsoft-winappcli.tgz,12787403,42,0
2026-01-29,v0.1.10,winappcli-arm64.zip,18126329,30,0
2026-01-29,v0.1.10,winappcli-x64.zip,18620828,307,0
2026-01-29,v0.1.10,winappcli_arm64.msix,6440061,159,0
2026-01-29,v0.1.10,winappcli_x64.msix,6662749,2900,0
2026-01-29,v0.1.9,microsoft-winappcli.tgz,12773580,2,0
2026-01-29,v0.1.9,winappcli-arm64.zip,18127286,2,0
2026-01-29,v0.1.9,winappcli-x64.zip,18618849,3,0
2026-01-29,v0.1.9,winappcli_arm64.msix,6440233,42,0
2026-01-29,v0.1.9,winappcli_x64.msix,6663277,67,0
2026-01-29,v0.1.8,microsoft-winappcli.tgz,10016736,5,0
2026-01-29,v0.1.8,winappcli-arm64.zip,14413579,28,0
2026-01-29,v0.1.8,winappcli-x64.zip,14819056,102,0
2026-01-29,v0.1.8,winappcli_arm64.msix,5064129,70,0
2026-01-29,v0.1.8,winappcli_x64.msix,5250224,190,0
2026-01-29,v0.1.7,microsoft-winappcli-0.1.7.tgz,9777677,8,0
2026-01-29,v0.1.7,winappcli-0.1.7-arm64.zip,14192048,4,0
2026-01-29,v0.1.7,winappcli-0.1.7-x64.zip,14591125,7,0
2026-01-29,v0.1.7,winappcli_0.1.7.0_arm64.msix,4941945,137,0
2026-01-29,v0.1.7,winappcli_0.1.7.0_x64.msix,5139211,285,0
2026-01-29,v0.1.6,microsoft-winappcli-0.1.6.tgz,9777891,1,0
2026-01-29,v0.1.6,winappcli-0.1.6-arm64.zip,14188643,1,0
2026-01-29,v0.1.6,winappcli-0.1.6-x64.zip,14594265,2,0
2026-01-29,v0.1.6,winappcli_0.1.6.0_arm64.msix,4941942,107,0
2026-01-29,v0.1.6,winappcli_0.1.6.0_x64.msix,5139436,115,0
2026-01-29,v0.1.5,microsoft-winappcli-0.1.5.tgz,9777803,18,0
2026-01-29,v0.1.5,winappcli-0.1.5-arm64.zip,14193004,3,0
2026-01-29,v0.1.5,winappcli-0.1.5-x64.zip,14593124,4,0
2026-01-29,v0.1.5,winappcli_0.1.5.0_arm64.msix,4941881,139,0
2026-01-29,v0.1.5,winappcli_0.1.5.0_x64.msix,5139487,175,0
2026-01-29,v0.1.4,microsoft-winappcli-0.1.4.tgz,10640031,5,0
2026-01-29,v0.1.4,winappcli-0.1.4-arm64.zip,15360523,3,0
2026-01-29,v0.1.4,winappcli-0.1.4-x64.zip,15924513,4,0
2026-01-29,v0.1.4,winappcli_0.1.4.0_arm64.msix,5403706,122,0
2026-01-29,v0.1.4,winappcli_0.1.4.0_x64.msix,5568666,132,0
2026-01-29,v0.1.3,microsoft-winappcli-0.1.3.tgz,10638831,2,0
2026-01-29,v0.1.3,winappcli-0.1.3-arm64.zip,15357067,2,0
2026-01-29,v0.1.3,winappcli-0.1.3-x64.zip,15922250,4,0
2026-01-29,v0.1.3,winappcli_0.1.3.0_arm64.msix,5402818,4,0
2026-01-29,v0.1.3,winappcli_0.1.3.0_x64.msix,5568509,7,0
2026-01-29,v0.1.2,microsoft-winappcli-0.1.2.tgz,10638401,2,0
2026-01-29,v0.1.2,winappcli-0.1.2-arm64.zip,15360726,2,0
2026-01-29,v0.1.2,winappcli-0.1.2-x64.zip,15917654,4,0
2026-01-29,v0.1.2,winappcli_0.1.2.0_arm64.msix,5346883,3,0
2026-01-29,v0.1.2,winappcli_0.1.2.0_x64.msix,5509446,9,0
2026-01-29,v0.1.1-gui,winapp-GUI_0.1.1.0_arm64.msix,15250332,12,0
2026-01-29,v0.1.1-gui,winapp-GUI_0.1.1.0_x64.msix,57467651,75,0
2026-01-29,v0.1.1,microsoft-winappcli-0.1.1.tgz,10424023,28,0
2026-01-29,v0.1.1,winappcli-arm64.zip,15348987,2,0
2026-01-29,v0.1.1,winappcli-x64.zip,15911362,5,0
2026-01-29,v0.1.1,winapp_arm64_0.1.1.0.msix,5347907,11,0
2026-01-29,v0.1.1,winapp_x64_0.1.1.0.msix,5505772,14,0
2026-01-29,v0.1.0,microsoft-winappcli-0.1.0-rc1.tgz,9765236,2,0
2026-01-29,v0.1.0,winappcli-arm64.zip,14651888,2,0
2026-01-29,v0.1.0,winappcli-x64.zip,14987439,5,0
